Observations for Station 01415 starting 1105Z 21 Aug 2022, Latitude: 58.874 Longitude: 5.665

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SPED   THTA   THTE   THTV
    hPa      m      C      C      %   g/kg    deg    m/s      K      K      K 
-----------------------------------------------------------------------------
  850.7   1415    3.8   -0.1     75   4.46    224    9.6  290.1  303.1  290.9
  850.2   1420    3.8   -0.1     76   4.47    223    9.7  290.1  303.1  290.9
  850.0   1422    3.8   -0.1     76   4.47    223    9.7  290.1  303.1  290.9
  849.7   1425    3.7   -0.1     76   4.47    223    9.7  290.1  303.1  290.9
  849.2   1430    3.7   -0.2     76   4.45    222    9.7  290.1  303.1  290.8
  848.7   1435    3.6   -0.2     76   4.43    222    9.7  290.1  303.0  290.9
  848.2   1440    3.6   -0.3     76   4.42    222    9.7  290.1  303.0  290.9
  847.7   1444    3.6   -0.3     76   4.41    221    9.7  290.1  303.0  290.9
  847.2   1449    3.6   -0.3     76   4.41    221    9.7  290.1  303.0  290.9
  846.8   1454    3.5   -0.4     76   4.39    220    9.7  290.1  303.0  290.9
  846.2   1458    3.5   -0.5     75   4.37    220    9.7  290.1  302.9  290.9
